id,name
09ed4e33-335c-4385-a8d6-fa076f68459d,Generic
f36ceb00-cd6c-46a9-9dc7-30721668a11f,Air India
9627685d-e466-4645-806c-4366d43d78f6,Aer Lingus
9576b574-f098-4875-9f8a-5e3a21632fb2,Alitalia
8ce5dac3-bea5-4b09-957b-7e8df7ce40d1,American Airlines
fff01f28-c366-446d-a969-5e5ee267f5f6,ANA
98ae73a4-faf5-4e91-b27a-c0ce45fc26a2,Asiana Airlines
2a5ebc6c-8246-4176-a2b1-5399dd1537de,Austrian Airlines
700c1fca-c1a8-4efd-9a73-2773aa3ae46d,Dragonair
3742625a-606f-4485-9572-85d927abc607,Etihad
6a895397-9918-4e5f-b8a5-ada34263480d,Etihad - 2015
f8a4e8cd-5ba5-45b7-884d-3ba8a2d10d6b,EVA Air
ecbb8067-e81f-4815-9039-7a68ae8ca196,Swiss
8b39cf0a-3c39-4894-9949-709e28ae3c1f,Finnair
9ee16a17-5d79-4f36-954d-e0d01d840c96,Gulf Air
4bb35051-5911-4237-a57b-ede876767b8c,Iberia
80b25154-18b8-4811-af25-16a9810f0e55,Middle East Airlines
5b07dffd-9f93-42af-8f48-547512c3efea,Philippines Airlines
cc6493fb-1cd7-481e-9c84-11c2f761e746,Thomas Cook
26528589-9e49-4038-b79e-8ec583c59166,Turkish Airlines
ddb6981c-1c63-4e11-a297-59cf70e81790,VietJet Air
2bc6b67f-e8af-4ac7-b2aa-54a1113d22eb,Vietnam Airlines
4e920d0f-a5c7-4e9c-a936-d6fa4d671a0d,Delta Air Lines
c26dca34-d4e7-428e-8bf2-5c2e09021628,Frontier - Virginia the Wolf
80fc182b-5e4c-4fd7-9103-7221a72091b5,JetBlue
061ee4be-7a62-4eee-8096-da4a0941ba0b,Spirit Airlines
d2b92cc1-7f87-4063-b215-ffb97eebf12a,British Airways
66666808-5c81-441b-89f1-d132889b2041,Air Canada
bd5ad51e-a753-4203-8eef-502da9f431e5,Wizz Air
a705c138-2ddd-4cf2-8f67-6c7f742eb09c,Cebu Pacific
38ad8ab5-57fd-4e9b-9367-8792aebc15b6,Qatar Airways
d9d45dc3-c639-4d00-97aa-ad3726602129,Generic
47445efa-42da-4779-b01e-7608628d5ba3,Generic
25e31904-a622-41b1-857a-4a1046cefcde,Generic
331c6fc3-3cca-4d3a-8764-ab3b37b688fe,Private
176626af-4edf-4644-b653-6c52e8c759be,Gray and White
fa5be4ac-fd44-4aac-8130-3b989a36e875,Red and White
debddb41-f3ac-4d73-8419-de887cb355d1,Brown and White
45b2b723-4f9c-47c6-9353-96275c78dce3,Generic
b2beefc9-315c-4193-a5aa-d05c5cb99eab,Miss Virginia
9c0ce19f-00b0-44ea-938d-8c70e4c48c7c,Air France
6cd83a20-b414-4250-bbff-fdc413bd1545,Asiana Airlines
62c77355-f439-485f-b8dd-2789a3750fed,Korean Air
5b45864c-d8e4-405a-95fc-6dc4332540c2,Qantas
b5f99762-08fa-473f-8877-27361bd9e91e,Qatar Airways
19f00139-e7e5-46eb-ad77-d89539aebd24,Singapore Airlines
0b6dd5b5-4a89-42d1-86a6-bd4676f14751,Lufthansa
7684ff31-9049-434c-988c-34eaf5f1bd70,Emirates
0cb88e15-2848-4510-8f3f-3046ea3b22fa,British Airways
acaad8d8-1d47-413b-a911-0704d73c2ee4,Thai Airways
5d6b236c-ce71-4180-80a7-807b9372670e,Malaysia Airlines
2b5609fa-0d67-48c4-bc35-82db3ffce594,Etihad
58f173ca-79c5-4642-8acd-1a89295ed417,Transaero
a9b4ca42-c2ee-4587-be37-a89f2e5ebd0a,Air Austral
793768c8-82f1-4562-be0a-31c7051a8aae,Generic
c9783f7c-1bd1-497d-b220-329b41abf78c,UPS
c2a3e267-112f-4e4e-86fb-1ed94200467e,Turkish Airlines Cargo
fb9d200c-563d-4e37-878a-849fc865d6bd,Etihad Cargo
39c37dae-7aa8-4e95-a0fa-85c1391b0598,Lufthansa
6bb2a9d2-2219-4251-8569-a8c8006d9140,Cathay Pacific
b6621603-2884-4611-b105-1a3db20379b4,Swiss International Air Lines
6f0305f2-b66a-4636-898a-82b72dfc2331,Delta Air Lines
1f07d7de-e733-4287-a44d-021e3ba29f8f,Air Canada
1ae8c721-b906-4a34-8dba-a81106258047,SAS
e6b8145b-adf5-4ff1-933a-04d47a64f8f2,Aeroflot
a79719a6-ff60-4a83-bf21-3a29f54dcdea,China Airlines
88cd6503-d375-493e-87e3-32fa4395b93b,EgyptAir
e8b7ddc6-69da-4874-a486-41edf278635f,Generic
800301a6-9aad-4e93-b8db-850e97b04f19,Singapore Airlines
398ad663-c07e-4fa6-922a-c934e00ccad0,Thai International Airways
a924a737-057a-4f67-8ace-049913727e29,Srilankan Airlines
3c0c4e63-5053-45e3-b0d9-4e2007b6a34e,South African Airways
9394adec-917a-45b0-8166-622a2bac4f86,KLM
1de367d5-10b9-46f4-8b72-e80a6256123b,Aer Lingus
92daac17-191e-4527-b55b-3417334f2a57,Qantas
b36252a6-8a58-4c10-9fb6-472c86128309,Turkish Airlines
4863822c-164f-4ecb-bcd2-dcab9d4e9f9c,China Southern
27873a61-24e1-4795-a0c7-a0d0fc206b3b,Virgin Atlantic
1ec997e8-4121-44ab-b184-2f1a126ca29b,Brussels Airlines
ded14d7e-7c62-41d8-ae97-a0835cad3b46,Jet Airways
d696adfd-accc-4f19-a1ca-3c28a22b25c6,Air China
